No,MACADDR,MACUsed,CountryCode,BosaSN,GponSN,WifiSSID,WifiPWD,CustomerSN,FWver,CalTest,LEDTest,LEDTest2,USBTest,WPSBtnTest,ResetBtnTest,GPONTest,TELPortTest,LANPortTest,LDEAsmTest,WifiTest,VerifyCodeTest,CloseBackDoorTest
1,7c8334501ea0,,,,,,,,,,,,,,,,,,,,,
2,7c8334501ea5,,,,,,,,,,,,,,,,,,,,,
3,7c8334501eaa,,,,,,,,,,,,,,,,,,,,,
4,7c8334501eaf,,,,,,,,,,,,,,,,,,,,,
5,7c8334501eb4,,,,,,,,,,,,,,,,,,,,,
6,7c8334501eb9,,,,,,,,,,,,,,,,,,,,,
7,7c8334501ebe,,,,,,,,,,,,,,,,,,,,,
8,7c8334501ec3,,,,,,,,,,,,,,,,,,,,,
9,7c8334501ec8,,,,,,,,,,,,,,,,,,,,,
10,7c8334501ecd,,,,,,,,,,,,,,,,,,,,,
